region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr
Sub-Saharan Africa,SSA,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,1.9,0.363744778378,0.163660618844,0.099811150713,0.281087528913,4.100424072831,2.59365333126,0.512576460898,0.519568924911,0.464340054631,0.009832460145,0.02195307225,0.033424554726,0.044953073235,0.056627741511,0.070487579879,0.088084850334,0.113494559669,0.158686952441,0.40245515581,0.033848061459,80.931800842285,16509042.25000002,1909.50206453685,,FALSE,micro,survey,2.29682666563,0.445488351232
Sub-Saharan Africa,SSA,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,1.9,0.344468565403,0.116496022264,0.054407851772,0.163529022722,3.621890586965,2.610181894941,0.311631502322,0.427155149878,0.391365249698,0.020719662955,0.033566885996,0.043156064151,0.053045703844,0.065426019641,0.079203564996,0.096514471128,0.12291698132,0.162333306988,0.32311733898,0.723337197249,80.931800842285,22099598,3176.67216597867,1201.3110922354,FALSE,micro,survey,2.30509094747,0.434988393193
Sub-Saharan Africa,SSA,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,1.9,0.500464732985,0.227492797919,0.132899812829,0.368092193676,3.04250581173,1.898350741292,0.477889647575,0.512721111982,0.470981918182,0.013295415784,0.024280907025,0.033328607853,0.043429294635,0.055842687342,0.069813625259,0.088687618989,0.115687375978,0.159390207457,0.396244259677,2.939984674313,80.931800842285,31457142.35000008,2777.84304535304,1495.34059467995,FALSE,micro,survey,1.949175370646,0.511640443686
Europe & Central Asia,ECA,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,1.9,0.009206690071,0.00140050667,4.11122648e-4,0.001697638064,6.570821287237,5.774805313171,0.119104326584,0.270103419751,0.241293272375,0.038632860014,0.052893468787,0.063786834007,0.073220415345,0.083796619287,0.093549025245,0.108230869679,0.12473869501,0.148995481367,0.212155731258,0.444572454488,54.652584075928,3168033,1633.55200001885,1716.33680111076,FALSE,micro,survey,3.887402656586,0.200417071044
Europe & Central Asia,ECA,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,1.9,0.015708433586,0.002617609971,7.94073944e-4,0.003250634227,6.715828093315,5.539607864123,0.164811599639,0.317389798335,0.268981638919,0.034940017741,0.048594442474,0.058420590398,0.067382039964,0.076531024101,0.088394594867,0.102285850593,0.119844287335,0.149250783032,0.254356369496,0.780532995512,54.652584075928,3051010,2247.49808010881,1685.20307823169,FALSE,micro,survey,3.769803932062,0.222003488413
Europe & Central Asia,ECA,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,1.9,0.008605271125,0.001313254405,3.34832125e-4,0.001529607503,7.591930506439,6.460357498803,0.154412756483,0.305956557281,0.254528656817,0.034825359604,0.049201089608,0.059772825693,0.069211825089,0.079881583814,0.090370685302,0.103721440054,0.121264076422,0.148339433449,0.243411680966,0.838737072592,54.652584075928,3011487,2675.50863709675,2079.20347462531,FALSE,micro,survey,4.230178749401,0.206665558866
Europe & Central Asia,ECA,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,1.9,0.003136495813,5.12410964e-4,1.31118864e-4,5.94097906e-4,8.314346004007,6.957659731521,0.148893380953,0.299846704223,0.247311112608,0.037336253536,0.051367811851,0.060884721596,0.0698358425,0.079120785369,0.089241326419,0.102987349994,0.119290755227,0.145352044523,0.244583108985,0.912332254061,54.652584075928,2947314,3298.47890843532,2820.27951343061,FALSE,micro,survey,4.47882986576,0.171906578071
Europe & Central Asia,ECA,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,1.9,0.008497544477,0.001691008234,5.78804996e-4,0.002116234181,7.88286715386,6.825289501474,0.138417068042,0.289604845586,0.249987920799,0.036595270066,0.051930949967,0.061436438301,0.070307257427,0.080838325516,0.092569426069,0.105154551765,0.122933011464,0.148891373012,0.229343396413,1.020315915526,54.652584075928,2900401,3736.34007957648,2990.3965980158,FALSE,micro,survey,4.412644750737,0.187153508162
Europe & Central Asia,ECA,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,1.9,0.015808971697,0.002119193393,4.44860692e-4,0.002388852902,8.399774541369,6.870836681098,0.198661566313,0.345988964668,0.324309701504,0.028530038687,0.041737671856,0.0522291287,0.063115986608,0.075123732445,0.089328596028,0.105937027313,0.1272453812,0.16130921315,0.255443224013,1.056996183869,54.652584075928,2889104,3855.76074409659,3143.25412532029,FALSE,micro,survey,4.435418340549,0.253420714865
Europe & Central Asia,ECA,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,1.9,0.00245097908,1.32608103e-4,1.2119674e-5,1.39172016e-4,10.14242411366,8.318451266391,0.175495470024,0.327537317764,0.300363766021,0.031544789355,0.045467980907,0.055664218171,0.065794647387,0.076200231782,0.088862364949,0.104740833163,0.125232944198,0.158698910962,0.247793079125,1.077038654501,54.652584075928,2880703,3952.80357364813,3189.70532584876,FALSE,micro,survey,5.159225633196,0.200893609535
Europe & Central Asia,ECA,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,1.9,0.004103642229,3.05721539e-4,3.6325584e-5,3.26140006e-4,10.379925086764,8.510442373198,0.187580582292,0.337362987161,0.314380353846,0.029694057333,0.043505156287,0.054224177497,0.064237668383,0.075244323051,0.088966629277,0.105204963891,0.127039856473,0.161387621988,0.250495545819,1.090775590628,54.652584075928,2876101,4090.37272829183,3262.75695885257,FALSE,micro,survey,5.255221186599,0.213694169819
Europe & Central Asia,ECA,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,1.9,0.066816039849,0.024690061179,0.012801471459,0.036588655668,8.23697859731,6.737441294875,0.273739843732,0.385656427056,0.350360082035,0.018381764566,0.034833605882,0.047921787789,0.06081395376,0.073580651911,0.088626505099,0.105739461545,0.129129114973,0.166303667648,0.274669486828,1.090775590628,54.652584075928,2876101,4090.37272829183,3262.75695885257,FALSE,micro,survey,4.368720647438,0.294835999066
Europe & Central Asia,ECA,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,1.9,0.004284754558,6.25867922e-4,1.10038054e-4,6.89447931e-4,10.279879246977,8.438172374693,0.179908465048,0.330556627407,0.30852226484,0.030905286119,0.044599426819,0.054776051653,0.065081229612,0.076049760161,0.089083971458,0.105392620803,0.127178869102,0.160808482945,0.246124301329,1.112445600547,54.652584075928,2873457,4249.8200493985,3345.55624537542,FALSE,micro,survey,5.219086187346,0.207726200237
Europe & Central Asia,ECA,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,1.9,0.060738207496,0.020433946106,0.010023559803,0.029400445544,8.623163545387,7.210039339718,0.254174929513,0.370951266866,0.332536623841,0.0189761391,0.036430115137,0.050108947304,0.063291838877,0.076491534525,0.090737505831,0.106486611843,0.129021163359,0.163922511373,0.26453363265,1.112445600547,54.652584075928,2873457,4249.8200493985,3345.55624537542,FALSE,micro,survey,4.605019669859,0.274746843067
Europe & Central Asia,ECA,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2020,1.9,0.001207723297,9.2047082e-5,1.4556189e-5,1.00298732e-4,11.02970508729,9.641079559265,0.15240441423,0.301482817366,0.265930116378,0.031698258293,0.047681750249,0.059720402219,0.070732620134,0.081351625661,0.09345278344,0.10747296732100001,0.125971411952,0.154495057424,0.227423123309,1.13500661151,54.652584075928,2866376,4431.55559506989,3461.66437422341,FALSE,micro,survey,5.820539779632,0.189452743332
